gtcregno,pIC50_mean,pIC50_stddev,smiles,Pass stddev check,Compound crystallised with protein
GTC000107A,6.981750000000001,0.1808708102486412,OC=O.O=C1Cc2cc(Nc3nccc(Nc4cccc5[nH]ncc45)n3)ccc2N1,True,False
GTC000108A,6.830500000000001,0.23829498525986603,OC(=O)C(F)(F)F.NC(=O)c1ccc(Nc2nccc(Nc3cccc4[nH]ncc34)n2)cc1,True,False
GTC000108B,7.256,0.04666904755831233,OC=O.NC(=O)c1ccc(Nc2nccc(Nc3cccc4[nH]ncc34)n2)cc1,True,False
GTC000109A,7.271,,OC=O.Cc1cc(=O)[nH]c2cc(Nc3nccc(Nc4cccc5[nH]ncc45)n3)ccc12,True,False
GTC000110A,6.273,,OC=O.NC(=O)c1cccc(Nc2nccc(Nc3cccc4[nH]ncc34)n2)c1,True,False
GTC000111A,6.653,,OC=O.C1Cc2cc(Nc3nccc(Nc4cccc5[nH]ncc45)n3)ccc2O1,True,False
GTC000112A,7.1875,0.1265721138323922,N(c1ccc2nn[nH]c2c1)c1nccc(Nc2cccc3[nH]ncc23)n1,True,False
GTC000113A,6.797000000000001,,OC=O.N(c1ccnc(Nc2cccc3[nH]ncc23)n1)c1cccc2[nH]ncc12,True,False
GTC000114A,6.686,,OC=O.CC(=O)N1CCc2cc(Nc3nccc(Nc4cccc5[nH]ncc45)n3)ccc12,True,False
GTC000115A,7.106,,OC=O.O=c1[nH]c2ccc(Nc3nccc(Nc4cccc5[nH]ncc45)n3)cc2[nH]1,True,False
GTC000116A,6.774000000000001,0.08909545442950491,OC=O.O=C1CCc2ccc(Nc3nccc(Nc4cccc5[nH]ncc45)n3)cc12,True,False
GTC000117A,7.04,,O=C1CCCc2cc(Nc3nccc(Nc4cccc5[nH]ncc45)n3)ccc12,True,False
GTC000118A,7.0865,0.31623250939775327,OC(=O)C(F)(F)F.COc1cc(Nc2nccc(Nc3cccc4[nH]ncc34)n2)cc(OC)c1,True,False
GTC000119A,6.683,,OC(=O)C(F)(F)F.OC(=O)c1cccc(Nc2nccc(Nc3cccc4[nH]ncc34)n2)c1,True,False
GTC000120A,7.5335,0.297691954879537,OC(=O)C(F)(F)F.NS(=O)(=O)c1cccc(Nc2nccc(Nc3cccc4[nH]ncc34)n2)c1,True,False
GTC000121A,6.73525,0.3902643334971819,OC(=O)C(F)(F)F.CS(=O)(=O)c1cccc(Nc2nccc(Nc3cccc4[nH]ncc34)n2)c1,True,False
GTC000122A,7.335,0.08909545442950459,OC(=O)C(F)(F)F.N(c1ccnc(Nc2ccc3ncsc3c2)n1)c1cccc2[nH]ncc12,True,False
GTC000123A,7.1370000000000005,0.11879393923934041,OC(=O)C(F)(F)F.Cc1nc2ccc(Nc3nccc(Nc4cccc5[nH]ncc45)n3)cc2s1,True,False
GTC000124A,7.7185,0.07848885271170723,OC(=O)C(F)(F)F.Cn1ncc2ccc(Nc3nccc(Nc4cccc5[nH]ncc45)n3)cc12,True,False
GTC000125A,6.6175,0.4391133111168454,OC(=O)C(F)(F)F.OC(=O)Cc1cccc(Nc2nccc(Nc3cccc4[nH]ncc34)n2)c1,True,False
GTC000126A,7.5145,0.19304015126392818,OC(=O)C(F)(F)F.N(c1cccc(c1)-c1cc[nH]n1)c1nccc(Nc2cccc3[nH]ncc23)n1,True,False
GTC000127A,6.602,,COC(=O)c1cccc(Nc2nccc(Nc3cccc4[nH]ncc34)n2)c1,True,False
GTC000127B,7.064,0.23900209204105344,OC(=O)C(F)(F)F.COC(=O)c1cccc(Nc2nccc(Nc3cccc4[nH]ncc34)n2)c1,True,False
GTC000128A,6.659,,OC(=O)C(F)(F)F.CC(C)c1ccc(Nc2nccc(Nc3cccc4[nH]ncc34)n2)cc1,True,False
GTC000129A,6.6579999999999995,,OC(=O)C(F)(F)F.C1CN(CCO1)c1ccc(Nc2nccc(Nc3cccc4[nH]ncc34)n2)cc1,True,False
GTC000130A,8.154499999999999,0.4391133111168457,OC(=O)C(F)(F)F.N(c1cccc(c1)-c1nnn[nH]1)c1nccc(Nc2cccc3[nH]ncc23)n1,True,False
GTC000131A,7.1785,0.03747665940288666,OC(=O)C(F)(F)F.N#Cc1cccc(Nc2nccc(Nc3cccc4[nH]ncc34)n2)c1,True,False
GTC000132A,6.722,0.2462600251766415,OC(=O)C(F)(F)F.FC(F)(F)c1cccc(Nc2nccc(Nc3cccc4[nH]ncc34)n2)c1,True,False
GTC000133A,7.5565,0.29062088706767103,OC(=O)C(F)(F)F.O=C1NS(=O)(=O)c2cc(Nc3nccc(Nc4cccc5[nH]ncc45)n3)ccc12,True,False
GTC000134A,7.226,0.27026283503286214,OC(=O)C(F)(F)F.Cc1ncoc1-c1cccc(Nc2nccc(Nc3cccc4[nH]ncc34)n2)c1,True,False
GTC000135A,6.510750000000001,0.3221680462119115,OC(=O)C(F)(F)F.COc1ccc(Nc2nccc(Nc3cccc4[nH]ncc34)n2)cc1,True,False
GTC000136A,6.687,,OC(=O)C(F)(F)F.FC(F)(F)c1ccc(Nc2nccc(Nc3cccc4[nH]ncc34)n2)cc1,True,False
GTC000137A,6.766500000000001,0.23648890037378034,OC(=O)C(F)(F)F.N(c1cccc(c1)-c1ccsc1)c1nccc(Nc2cccc3[nH]ncc23)n1,True,False
GTC000138A,7.003500000000001,0.41507168055650356,OC(=O)C(F)(F)F.Oc1ccc(Nc2nccc(Nc3cccc4[nH]ncc34)n2)cc1,True,False
GTC000139A,6.675,,OC(=O)C(F)(F)F.N#Cc1ccc(Nc2nccc(Nc3cccc4[nH]ncc34)n2)cc1,True,False
GTC000140A,7.325,0.16091198422326028,OC(=O)C(F)(F)F.CNC(=O)COc1cccc(Nc2nccc(Nc3cccc4[nH]ncc34)n2)c1,True,False
GTC000141A,6.6129999999999995,0.3016963153017728,OC(=O)C(F)(F)F.COc1ccc(Nc2nccc(Nc3cccc4[nH]ncc34)n2)cc1Cl,True,False
GTC000142A,6.7695,0.2481944801964788,OC(=O)C(F)(F)F.C1Cc2ccc(Nc3nccc(Nc4cccc5[nH]ncc45)n3)cc2C1,True,False
GTC000143A,6.75,0.4764276790167982,OC(=O)C(F)(F)F.O=C1OCc2ccc(Nc3nccc(Nc4cccc5[nH]ncc45)n3)cc12,True,False
GTC000144A,7.427,0.6250823945689074,OC(=O)C(F)(F)F.FC1(F)Oc2ccc(Nc3nccc(Nc4cccc5[nH]ncc45)n3)cc2NC1=O,False,False
GTC000145A,7.114,0.4228498551495547,OC(=O)C(F)(F)F.CC1(C)Oc2ccc(Nc3nccc(Nc4cccc5[nH]ncc45)n3)cc2NC1=O,True,False
GTC000146A,7.0649999999999995,0.1697056274847706,OC=O.CNC(=O)c1ccc(Nc2nccc(Nc3cccc4[nH]ncc34)n2)cc1,True,False
GTC000147A,7.09,0.1810193359837554,OC=O.O=S1(=O)Cc2ccc(Nc3nccc(Nc4cccc5[nH]ncc45)n3)cc2C1,True,False
GTC000148A,7.8345,0.48012550442566565,OC(=O)C(F)(F)F.Cc1nc(no1)-c1cccc(Nc2nccc(Nc3cccc4[nH]ncc34)n2)c1,True,False
GTC000149A,7.870500000000001,0.383958982184296,OC(=O)C(F)(F)F.O=C1Nc2ccc(Nc3nccc(Nc4cccc5[nH]ncc45)n3)cc2CO1,True,False
GTC000150A,6.502000000000001,,OC(=O)C(F)(F)F.CCN(CC)C(=O)c1ccc(Nc2nccc(Nc3cccc4[nH]ncc34)n2)cc1,True,False
GTC000151A,7.397000000000001,0.5525332569176269,OC(=O)C(F)(F)F.CCNC(=O)c1ccc(Nc2nccc(Nc3cccc4[nH]ncc34)n2)cc1,False,False
GTC000152A,7.108499999999999,0.07848885271170629,OC(=O)C(F)(F)F.O=C1OCc2cc(Nc3nccc(Nc4cccc5[nH]ncc45)n3)ccc12,True,False
GTC000153A,7.236,0.15681517783684074,OC(=O)C(F)(F)F.O=S1(=O)NCc2cc(Nc3nccc(Nc4cccc5[nH]ncc45)n3)ccc12,True,False
GTC000154A,7.517,0.19091883092036754,OC(=O)C(F)(F)F.O=C1Cc2ccc(Nc3nccc(Nc4cccc5[nH]ncc45)n3)cc2N1,True,False
GTC000155A,7.06425,0.34886805051002684,OC(=O)C(F)(F)F.C1Oc2ccc(Nc3nccc(Nc4cccc5[nH]ncc45)n3)cc2O1,True,False
GTC000156A,7.6015,0.18031222920256923,OC(=O)C(F)(F)F.N(c1cccc(c1)-c1cnco1)c1nccc(Nc2cccc3[nH]ncc23)n1,True,False
GTC000157A,8.043,0.31819805153394587,OC(=O)C(F)(F)F.N(c1ccnc(Nc2cccc(c2)-c2nc3ccccc3[nH]2)n1)c1cccc2[nH]ncc12,True,False
GTC000158A,6.889666666666667,0.24060825699325777,OC(=O)C(F)(F)F.Cn1c2ccc(Nc3nccc(Nc4cccc5[nH]ncc45)n3)cc2n(C)c1=O,True,False
GTC000159A,7.551,,OC(=O)C(F)(F)F.Cc1cc(=O)[nH]c2ccc(Nc3nccc(Nc4cccc5[nH]ncc45)n3)cc12,True,False
GTC000160A,7.2170000000000005,0.13859292911256407,OC(=O)C(F)(F)F.N(c1ccc2oncc2c1)c1nccc(Nc2cccc3[nH]ncc23)n1,True,False
GTC000161A,7.114,,OC(=O)C(F)(F)F.CS(=O)(=O)Nc1cccc(Nc2nccc(Nc3cccc4[nH]ncc34)n2)c1,True,False
GTC000162A,6.865333333333333,0.2237237880363494,OC(=O)C(F)(F)F.Cn1cnc2cc(Nc3nccc(Nc4cccc5[nH]ncc45)n3)ccc12,True,False
GTC000163A,6.7410000000000005,0.12020815280171303,OC(=O)C(F)(F)F.Cc1ncoc1-c1ccc(Nc2nccc(Nc3cccc4[nH]ncc34)n2)cc1,True,False
GTC000164A,6.989,0.2895790047638124,OC(=O)C(F)(F)F.Cn1ncc2cc(Nc3nccc(Nc4cccc5[nH]ncc45)n3)ccc12,True,False
GTC000165A,6.70775,0.1881318243501971,OC(=O)C(F)(F)F.N(c1ccc(cc1)-c1cnco1)c1nccc(Nc2cccc3[nH]ncc23)n1,True,False
GTC000166A,6.6160000000000005,,OC(=O)C(F)(F)F.O=C1CNC(=O)N1c1ccc(Nc2nccc(Nc3cccc4[nH]ncc34)n2)cc1,True,False
GTC000167A,6.632000000000001,,OC(=O)C(F)(F)F.O=C1CNC(=O)N1c1cccc(Nc2nccc(Nc3cccc4[nH]ncc34)n2)c1,True,False
GTC000168A,6.33,,OC=O.Cc1nc2cc(Nc3nccc(Nc4cccc5[nH]ncc45)n3)ccc2s1,True,False
GTC000169A,6.496,0.16970562748477155,OC=O.O=c1ccc2cc(Nc3nccc(Nc4cccc5[nH]ncc45)n3)ccc2o1,True,False
GTC000170A,6.242000000000001,,CN1C(=O)c2ccc(Nc3nccc(Nc4cccc5[nH]ncc45)n3)cc2C1=O,True,False
GTC000171A,6.296,,O=C1NC(=O)c2cc(Nc3nccc(Nc4cccc5[nH]ncc45)n3)ccc12,True,False
GTC000172A,6.23,,OC(=O)C(F)(F)F.CCN(C(C)=O)c1ccc(Nc2nccc(Nc3cccc4[nH]ncc34)n2)cc1,True,False
GTC000173A,6.53725,0.3015254273412667,OC(=O)C(F)(F)F.C(Oc1cccc(Nc2nccc(Nc3cccc4[nH]ncc34)n2)c1)c1ccccc1,True,False
GTC000174A,6.718,0.05374011537017798,OC(=O)C(F)(F)F.COC(=O)c1ccc(Nc2nccc(Nc3cccc4[nH]ncc34)n2)cc1,True,False
GTC000175A,6.101,,OC=O.CN(C(C)=O)c1ccc(Nc2nccc(Nc3cccc4[nH]ncc34)n2)cc1,True,False
GTC000176A,6.294,,OC=O.CC(C)(C)c1ccc(Nc2nccc(Nc3cccc4[nH]ncc34)n2)cc1,True,False
GTC000177A,7.59525,0.22661770304487075,Cc1cc(Nc2nccc(Nc3cccc4[nH]ncc34)n2)cc2c(C)cc(=O)[nH]c12,True,False
GTC000178A,6.164,,OC=O.CC(C)ONS(=O)(=O)c1cccc(Nc2nccc(Nc3cccc4[nH]ncc34)n2)c1,True,False
GTC000179A,5.381,,OC(=O)C(F)(F)F.O=S(=O)(N1CCCCC1)c1cccc(Nc2nccc(Nc3cccc4[nH]ncc34)n2)c1,True,False
GTC000180A,6.6295,0.09970205614730321,CONS(=O)(=O)c1ccc(Nc2nccc(Nc3cccc4[nH]ncc34)n2)cc1,True,False
GTC000181A,6.9,0.24202272620561924,NS(=O)(=O)c1ccc(Nc2nccc(Nc3cccc4[nH]ncc34)n2)cc1,True,False
GTC000182A,6.382,0.02545584412271636,O=C(Nc1ccccc1)c1ccc(Nc2nccc(Nc3cccc4[nH]ncc34)n2)cc1,True,False
GTC000183A,6.236,0.03818376618407376,Cc1ccc(NC(=O)c2ccc(Nc3nccc(Nc4cccc5[nH]ncc45)n3)cc2)cc1,True,False
GTC000184A,6.484333333333335,0.26748146353221075,CNS(=O)(=O)c1ccc(Nc2nccc(Nc3cccc4[nH]ncc34)n2)cc1,True,False
GTC000185A,5.377999999999999,,CN1CCN(CC1)C(=O)c1ccc(Nc2nccc(Nc3cccc4[nH]ncc34)n2)cc1,True,False
GTC000186A,6.2905,0.11242997820866124,O=S(=O)(Nc1nccs1)c1ccc(Nc2nccc(Nc3cccc4[nH]ncc34)n2)cc1,True,False
GTC000187A,5.937,0.10748023074035469,Cc1noc(NS(=O)(=O)c2ccc(Nc3nccc(Nc4cccc5[nH]ncc45)n3)cc2)c1C,True,False
GTC000188A,5.8085,0.08980256121069201,O=S(=O)(N1CCCC1)c1ccc(Nc2nccc(Nc3cccc4[nH]ncc34)n2)cc1,True,False
GTC000189A,6.130333333333333,0.10450039872332274,Cc1cc(NS(=O)(=O)c2ccc(Nc3nccc(Nc4cccc5[nH]ncc45)n3)cc2)no1,True,False
GTC000190A,5.957000000000001,,OC=O.OS(=O)(=O)c1cccc(Nc2nccc(Nc3cccc4[nH]ncc34)n2)c1,True,False
GTC000191A,6.2075,0.05020458146424437,O=S(=O)(Nc1ccccn1)c1ccc(Nc2nccc(Nc3cccc4[nH]ncc34)n2)cc1,True,False
GTC000192A,6.2139999999999995,,OCCCNC(=O)COc1ccc(Nc2nccc(Nc3cccc4[nH]ncc34)n2)cc1,True,False
GTC000193A,6.24,,OCCCNS(=O)(=O)Cc1cccc(Nc2nccc(Nc3cccc4[nH]ncc34)n2)c1,True,False
GTC000194A,5.806,0.1116378072160141,CC(C)(C)OC(=O)COc1ccc(Nc2nccc(Nc3cccc4[nH]ncc34)n2)cc1,True,False
GTC000195A,6.371,,CNS(=O)(=O)Cc1ccc(Nc2nccc(Nc3cccc4[nH]ncc34)n2)cc1,True,False
GTC000196A,6.644,,NC(=O)COc1ccc(Nc2nccc(Nc3cccc4[nH]ncc34)n2)cc1,True,False
GTC000197A,6.524,,CNC(=O)COc1ccc(Nc2nccc(Nc3cccc4[nH]ncc34)n2)cc1,True,False
GTC000198A,6.487,,Cl.Cl.Cl.OC(=O)COc1ccc(Nc2nccc(Nc3cccc4[nH]ncc34)n2)cc1,True,False
GTC000199A,6.31,,COC(=O)COc1ccc(Nc2nccc(Nc3cccc4[nH]ncc34)n2)cc1,True,False
GTC000200A,5.8965000000000005,0.21991020894901622,Cc1noc(NS(=O)(=O)Cc2ccc(Nc3nccc(Nc4cccc5[nH]ncc45)n3)cc2)c1C,True,False
GTC000201A,5.959,,Cc1nc(NS(=O)(=O)Cc2ccc(Nc3nccc(Nc4cccc5[nH]ncc45)n3)cc2)sc1C,True,False
GTC000202A,6.151,,O=C1CCCN1CCCNS(=O)(=O)Cc1ccc(Nc2nccc(Nc3cccc4[nH]ncc34)n2)cc1,True,False
GTC000203A,6.127000000000001,,OCCCNS(=O)(=O)Cc1ccc(Nc2nccc(Nc3cccc4[nH]ncc34)n2)cc1,True,False
GTC000204A,5.684,,O=C(COc1ccc(Nc2nccc(Nc3cccc4[nH]ncc34)n2)cc1)NCCCN1CCCC1=O,True,False
GTC000205A,6.034,,Cc1noc(NC(=O)Cc2ccc(Nc3nccc(Nc4cccc5[nH]ncc45)n3)cc2)c1C,True,False
GTC000206A,6.194,,Cc1cc(NC(=O)Cc2ccc(Nc3nccc(Nc4cccc5[nH]ncc45)n3)cc2)no1,True,False
GTC000207A,6.6339999999999995,,CS(=O)(=O)Cc1ccc(Nc2nccc(Nc3cccc4[nH]ncc34)n2)cc1,True,False
GTC000208A,6.071000000000001,,COc1ccc(NC(=O)Cc2ccc(Nc3nccc(Nc4cccc5[nH]ncc45)n3)cc2)cc1,True,False
GTC000209A,6.281000000000001,,COc1cccc(NC(=O)Cc2ccc(Nc3nccc(Nc4cccc5[nH]ncc45)n3)cc2)c1,True,False
GTC000210A,6.7517499999999995,0.39090269462702193,OC(=O)c1ccc(Nc2nccc(Nc3cccc4[nH]ncc34)n2)cc1,True,False
GTC000211A,5.5329999999999995,,FC(F)(F)c1ccc(NC(=O)Cc2ccc(Nc3nccc(Nc4cccc5[nH]ncc45)n3)cc2)cc1,True,False
GTC000212A,5.984,,FC(F)(F)c1cccc(NC(=O)Cc2ccc(Nc3nccc(Nc4cccc5[nH]ncc45)n3)cc2)c1,True,False
GTC000213A,5.857,,Clc1cccc(NC(=O)Cc2ccc(Nc3nccc(Nc4cccc5[nH]ncc45)n3)cc2)c1,True,False
GTC000214A,5.855,,Clc1ccc(NC(=O)Cc2ccc(Nc3nccc(Nc4cccc5[nH]ncc45)n3)cc2)cc1,True,False
GTC000215A,6.17,,Cc1nc(NC(=O)Cc2ccc(Nc3nccc(Nc4cccc5[nH]ncc45)n3)cc2)sc1C,True,False
GTC000216A,6.082000000000001,,O=C(Cc1ccc(Nc2nccc(Nc3cccc4[nH]ncc34)n2)cc1)Nc1ccncc1,True,False
GTC000217A,6.382999999999999,,CS(=O)(=O)Nc1ccc(Nc2nccc(Nc3cccc4[nH]ncc34)n2)cc1,True,False
GTC000218A,5.901,,CNC(=O)Cc1ccc(Nc2nccc(Nc3cccc4[nH]ncc34)n2)cc1,True,False
GTC000219A,6.265,,O=C(Cc1ccc(Nc2nccc(Nc3cccc4[nH]ncc34)n2)cc1)Nc1cccnc1,True,False
GTC000220A,6.037999999999999,,Cc1ccc(cc1)S(=O)(=O)Nc1ccc(Nc2nccc(Nc3cccc4[nH]ncc34)n2)cc1,True,False
GTC000221A,6.8406666666666665,0.24364386578227945,OC=O.N(c1ccc2[nH]ncc2c1)c1nccc(Nc2cccc3[nH]ncc23)n1,True,False
GTC000222A,7.911333333333334,0.11218882891506272,OC(=O)C(F)(F)F.CCN(c1cccc2[nH]ncc12)c1nc(Nc2ccc3CNS(=O)(=O)c3c2)ncc1Cl,True,True
GTC000223A,8.462,,OCCN(c1ccnc(Nc2ccc3CNS(=O)(=O)c3c2)n1)c1cccc2[nH]ncc12,True,True
GTC000224A,7.954,,Cc1ncoc1-c1cccc(Nc2nccc(n2)N(CCCO)c2cccc3[nH]ncc23)c1,True,True
GTC000225A,7.7095,0.03181980515339459,Cn1ncc2cc(Nc3nccc(n3)N(CCCO)c3cccc4[nH]ncc34)ccc12,True,True
GTC000226A,8.9095,0.419928168460592,OC(=O)C(F)(F)F.OCCCN(c1ccnc(Nc2ccc3CNS(=O)(=O)c3c2)n1)c1cccc2[nH]ncc12,True,True
GTC000226B,8.651499999999999,0.27157626307662863,OCCCN(c1ccnc(Nc2ccc3CNS(=O)(=O)c3c2)n1)c1cccc2[nH]ncc12,True,True
GTC000227A,8.877333333333333,0.37985040915251544,NCCCN(c1ccnc(Nc2ccc3CNS(=O)(=O)c3c2)n1)c1cccc2[nH]ncc12,True,False
GTC000228A,8.785,0.24748737341529264,OC(=O)C(F)(F)F.COCCCN(c1cccc2[nH]ncc12)c1nc(Nc2ccc3CNS(=O)(=O)c3c2)ncc1F,True,False
GTC000228B,8.568416666666666,0.22406511161362067,COCCCN(c1cccc2[nH]ncc12)c1nc(Nc2ccc3CNS(=O)(=O)c3c2)ncc1F,True,False
GTC000228C,8.544,,Cl.COCCCN(c1cccc2[nH]ncc12)c1nc(Nc2ccc3CNS(=O)(=O)c3c2)ncc1F,True,False
GTC000229A,8.794666666666666,0.16657230662187913,OC(=O)C(F)(F)F.OC(=O)CCCCN(c1ccnc(Nc2ccc3CNS(=O)(=O)c3c2)n1)c1cccc2[nH]ncc12,True,False
GTC000230A,8.837,,OCCCN(c1cccc2[nH]ncc12)c1nc(Nc2ccc3CNS(=O)(=O)c3c2)ncc1F,True,False
GTC000231A,8.849,,OC=O.CC(=O)NCCCCN(c1ccnc(Nc2ccc3[nH]c(=O)[nH]c3c2)n1)c1cccc2[nH]ncc12,True,False
GTC000232A,8.687999999999999,,OCCN(c1ccnc(Nc2ccc3nn[nH]c3c2)n1)c1cccc2[nH]ncc12,True,False
GTC000233A,8.578811111111111,0.21550958134254014,CCN(c1cccc2[nH]ncc12)c1nc(Nc2ccc3CNS(=O)(=O)c3c2)ncc1F,True,True
GTC000234A,8.552666666666667,0.21023875316728086,OC(=O)C(F)(F)F.Cc1nn(CCCO)c2cc(Nc3ncc(F)c(n3)N(CCCO)c3cccc4[nH]ncc34)ccc12,True,False
GTC000235A,8.504666666666667,0.4248121153325698,OC(=O)C(F)(F)F.OCCCCN(c1nc(Nc2ccc3CCS(=O)(=O)c3c2)ncc1F)c1cccc2[nH]ncc12,True,False
GTC000236A,8.51875,0.2352224124808965,OC(=O)C(F)(F)F.COCCCN(c1ccnc(Nc2ccc3CNS(=O)(=O)c3c2)n1)c1cccc2[nH]ncc12,True,False
GTC000237A,8.4545,0.23270224178837062,OC(=O)C(F)(F)F.CCN(c1cccc2[nH]ncc12)c1nc(Nc2ccc3[nH]c(=O)[nH]c3c2)ncc1F,True,False
GTC000237B,8.3125,0.35143207024971407,CCN(c1cccc2[nH]ncc12)c1nc(Nc2ccc3[nH]c(=O)[nH]c3c2)ncc1F,True,False
